40x50x1
1:0 1:0 13:0 1:0 13:0 1:0 1:0 25:0 13:0 13:0 1:0 1:0 1:0 1:0 1:0 1:0 25:0 1:0 25:0 25:0 1:0 25:0 1:0 13:0 1:0 1:0 1:0 1:0 1:0 1:0 14:0 30:0 41:0 16:0 1:0 1:0 13:0 1:0 13:0 25:0 
1:0 1:0 13:0 13:0 13:0 1:0 25:0 13:0 1:0 25:0 1:0 1:0 13:0 1:0 1:0 25:0 25:0 13:0 2:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 18:0 43:0 43:0 16:0 25:0 13:0 13:0 13:0 25:0 1:0 
2:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 3:0 18:0 30:0 30:0 29:0 41:0 29:0 30:0 41:0 41:0 41:0 41:0 30:0 41:0 43:0 43:0 2:0 3:0 3:0 3:0 3:0 3:0 4:0 
14:0 41:0 30:0 29:0 41:0 41:0 30:0 30:0 41:0 41:0 30:0 30:0 29:0 41:0 41:0 30:0 41:0 29:0 29:0 50:0 49:0 49:0 43:0 49:0 50:0 43:0 50:0 43:0 49:0 43:0 43:0 5:0 27:0 28:0 41:0 41:0 29:0 30:0 29:0 16:0 
14:0 43:0 43:0 50:0 49:0 43:0 50:0 43:0 50:0 49:0 49:0 50:0 49:0 43:0 49:0 43:0 49:0 50:0 49:0 50:0 43:0 49:0 49:0 43:0 50:0 43:0 43:0 43:0 50:0 49:0 43:0 16:0 13:0 14:0 49:0 43:0 49:0 49:0 50:0 16:0 
14:0 43:0 50:0 49:0 49:0 43:0 43:0 50:0 43:0 49:0 50:0 43:0 43:0 50:0 43:0 43:0 50:0 43:0 50:0 50:0 43:0 50:0 49:0 50:0 43:0 43:0 49:0 49:0 43:0 50:0 49:0 16:0 25:0 14:0 50:0 43:0 43:0 50:0 43:0 16:0 
14:0 43:0 49:0 50:0 43:0 50:0 43:0 50:0 49:0 50:0 43:0 43:0 49:0 49:0 49:0 49:0 43:0 50:0 50:0 50:0 43:0 43:0 43:0 50:0 50:0 50:0 49:0 49:0 49:0 49:0 43:0 16:0 25:0 14:0 43:0 49:0 49:0 43:0 43:0 16:0 
14:0 43:0 50:0 43:0 50:0 49:0 43:0 43:0 43:0 50:0 49:0 43:0 49:0 43:0 50:0 49:0 49:0 50:0 43:0 43:0 43:0 49:0 43:0 49:0 50:0 43:0 50:0 50:0 43:0 50:0 49:0 16:0 13:0 14:0 50:0 49:0 50:0 43:0 49:0 16:0 
14:0 43:0 50:0 49:0 49:0 43:0 43:0 50:0 49:0 43:0 43:0 49:0 49:0 43:0 49:0 49:0 43:0 43:0 49:0 50:0 43:0 43:0 49:0 43:0 49:0 50:0 50:0 43:0 50:0 49:0 50:0 16:0 13:0 14:0 43:0 50:0 49:0 49:0 50:0 16:0 
14:0 49:0 43:0 50:0 43:0 43:0 43:0 49:0 50:0 43:0 49:0 49:0 49:0 50:0 49:0 49:0 50:0 49:0 43:0 43:0 50:0 50:0 49:0 49:0 43:0 43:0 49:0 43:0 49:0 49:0 50:0 17:0 2:0 18:0 49:0 50:0 50:0 43:0 50:0 16:0 
14:0 49:0 43:0 50:0 50:0 43:0 43:0 43:0 49:0 43:0 43:0 49:0 50:0 49:0 50:0 50:0 43:0 43:0 50:0 49:0 43:0 50:0 49:0 43:0 43:0 50:0 49:0 43:0 50:0 50:0 43:0 30:0 17:0 30:0 43:0 43:0 49:0 43:0 43:0 16:0 
